Frame 72: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0026, Triste: 0.0003, Disgustado: 0.0013, Feliz: 0.9954
Frame 73: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0022, Triste: 0.0000, Disgustado: 0.0001, Feliz: 0.9974
Frame 74: Sorpresa: 0.0006, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0001, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9993
Frame 75: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0002, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9997
Frame 76: Sorpresa: 0.0000, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0004, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9996
Frame 77: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0004, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9995
Frame 78: Sorpresa: 0.0000, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0003, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9996
Frame 79: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0004, Triste: 0.0002, Disgustado: 0.0001, Feliz: 0.9990
Frame 80: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0088, Triste: 0.0000, Disgustado: 0.0002, Feliz: 0.9907
Frame 81: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0007, Triste: 0.0000, Disgustado: 0.0002, Feliz: 0.9991
Frame 82: Sorpresa: 0.0010, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0014, Triste: 0.0000, Disgustado: 0.0002, Feliz: 0.9974
Frame 83: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0015, Triste: 0.0000, Disgustado: 0.0001, Feliz: 0.9981
